job_id,job_name,status,user,target,dataset,algorithm,community_cost_eur,cost_bau_eur,cost_delta_to_bau_eur,cost_ratio_to_bau,ev_min_acceptable_feasible_rate,ev_within_tolerance_feasible_rate,electrical_violation_kwh,peak_daily_ratio_to_bau,peak_all_time_ratio_to_bau,community_import_kwh,community_export_kwh,community_solar_self_consumption_rate,battery_throughput_kwh,v2g_export_kwh
baaa9d13-03cf-45eb-ab24-27d3af174e97,TPPO_53eps new,finished,Tiago Fonseca,server,citylearn_three_phase_dynamic_assets_only_demo_15s_parquet,,,,,,,,,,,,,,,
360390bd-510a-4b5f-8583-3f2832579b8c,mold-repro,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,23063.305884784535,28598.350802373392,-5535.044917588857,0.806455800341833,1.0,0.9480894015861572,0.0,0.7603078152127086,0.7933823930581326,138717.85421599963,45408.77058331894,0.6900432779186156,31738.6881725193,387.21216679102963
5d36ccfc-77cf-4e1e-b17d-0647757e76d0,mold-ns8,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,23065.34758338172,28598.350802373392,-5533.003218991671,0.8065271925214483,1.0,0.9473684210526315,0.0,0.7612925576665479,0.793966075602806,138672.6063749243,45256.50016376078,0.691666745660843,32409.069365864816,396.28317753961835
cb145f6c-c06c-4fa8-ba97-77f37b943deb,mold-ctx,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22937.80794413526,28598.350802373392,-5660.542858238132,0.8020675074113588,1.0,0.9516943042537851,0.0,0.7595451510100117,0.7966354923735071,137993.53105120285,44751.62100515772,0.6947829840432487,33310.41667399061,381.68503104340675
f4987967-219b-40bf-9463-e90466d74350,mold-evd,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22936.527628536438,28598.350802373392,-5661.823173836954,0.8020227385501169,1.0,0.9524152847873107,0.0,0.7642900043759133,0.7919464817300245,138111.60220052325,45273.7932038143,0.6909643185230342,32094.96858863098,379.26548054321313
3d75aa42-61f9-45b5-a760-3b66e6bf9a0d,mold-ctx-s456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22967.229904524214,28598.350802373392,-5631.120897849178,0.8030963066100354,1.0,0.9506128334534968,0.0,0.7602817314262411,0.7980364766868924,138226.41814858874,44870.183941433505,0.6942593640935663,32752.92930348712,403.072979718796
f2067fbb-12eb-4a2d-8006-06c8a0a86a3a,mold-evd-s456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,23113.112237132627,28598.350802373392,-5485.238565240765,0.8081973816201478,1.0,0.9441240086517664,0.0,0.7636434272693227,0.7901406734014175,138994.10046841734,45432.349039247485,0.6902535714124316,31855.43208753874,380.88188029661933
3fa86b8e-5f71-41f6-ad7a-1b8f310b8a4e,mold-headfix,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22998.89258702079,28598.350802373392,-5599.458215352603,0.8042034572536294,1.0,0.9509733237202596,0.0,0.7603216199163678,0.7966850458968616,138367.518342436,45153.79063691003,0.6913188725541486,31897.04305535949,362.30471963346463
2cfcf0b8-b82d-480e-8e1d-84dc7a47fd07,mctx4-123,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22799.225012912582,28598.350802373392,-5799.12578946081,0.7972216709440624,0.9992790194664743,0.9516943042537851,0.0,0.7654811260868161,0.7931144743670581,137398.70623530255,45057.09715081275,0.6933384340146108,32628.73691018337,251.89378904906602
94fe8cf3-bee6-4721-b0a1-a7dba59491a9,mctx4-456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22812.85360273905,28598.350802373392,-5785.497199634341,0.7976982225438608,0.9996395097332372,0.9473684210526315,0.0,0.7691726669299307,0.7919885633676734,137621.61864428688,45016.64444534722,0.6940780974320375,32693.208912106653,251.3390890321997
